Name,ctrl_1,ctrl_2,ctrl_3,ctrl_4,sp1A,sp1B1,sp1B2,sp2A1,sp2A2,sp2B1,sp2B2,sp3A,sp4A1,sp4A2,sp4B,sp4C1,sp4C2,sp4D,sp5A,sp5B,sp5C,sp6A,clin1,clin2
PA0238,2062,2166,1947,1144,12,1339,1248,404,707,646,653,969,1016,112,6,1643,9,360,1540,1360,1187,4603,1202,98
PA0239,578,574,553,380,16,465,428,214,278,202,215,333,334,81,3,493,9,143,633,1331,400,4347,325,106
PA0240,1934,1974,1973,1232,15,1158,1123,505,753,583,573,561,447,101,5,1269,15,223,1404,2206,1148,6209,1212,177
PA0241,685,737,719,446,18,430,409,261,276,177,171,913,383,113,9,430,15,191,508,2310,328,6106,513,138
PA0242,1603,1499,1559,990,23,654,631,371,390,322,361,1252,931,181,9,661,17,477,651,3106,542,9932,1763,221
PA0243,1091,1150,1166,954,10,1028,889,475,995,692,635,1012,563,114,4,712,16,295,890,984,1183,3245,1391,124
PA0244,475,534,511,634,9,548,541,222,494,418,392,488,510,70,7,507,8,152,589,1404,438,4125,1099,81
PA0245,342,274,342,333,9,197,207,128,140,123,88,342,277,59,3,216,16,169,356,698,154,2135,612,65
PA0246,657,631,603,1788,17,1390,1343,590,1072,914,938,643,731,143,5,1056,14,423,1377,2417,1020,6979,1774,167
PA0247,402,440,452,539,9,418,357,278,309,240,257,515,423,91,5,426,7,204,421,1588,429,4553,395,106
PA0248,2127,2211,2298,2043,12,2251,2167,615,1011,783,834,1649,1031,178,10,788,14,562,1427,1266,1131,3366,1406,114
PA0249,1694,1744,2067,859,7,855,791,246,470,422,426,1643,488,70,7,653,9,194,778,677,689,1643,2119,101
PA0250,6779,6805,7410,2324,11,2517,2335,873,1999,1539,1729,49195,3016,320,269,1890,38,2580,2095,615,2876,2067,3516,177
PA0251,416,472,473,319,15,376,308,174,273,211,201,141,152,38,2,313,4,79,271,736,301,1639,305,53
PA0252,111,118,119,89,3,267,229,261,368,299,269,119,157,40,0,95,11,101,139,411,276,585,99,28
PA0253,965,1009,1011,1113,9,1756,1623,697,1454,1065,1135,2122,2200,327,13,1118,11,1201,1664,657,1056,1557,1671,83
PA0254,1093,1211,1167,1652,21,2039,1927,806,1298,939,988,1552,1237,332,14,1059,13,404,1694,2089,1032,5379,5437,330
PA0255,1058,1015,1073,2086,13,3500,3342,962,2110,1931,1879,1446,1412,189,10,2190,20,815,2309,1104,2497,2557,3603,128
