Locus,Name,LocusName,MedianSputumEffect,MedianSputumP,sp1.Est,sp2.Est,sp3.Est,sp4.Est,sp5.Est,sp6.Est,sp1.FDR,sp2.FDR,sp3.FDR,sp4.FDR,sp5.FDR,sp6.FDR,sp1.P,sp2.P,sp3.P,sp4.P,sp5.P,sp6.P
PA3893,,PA3893,0.773276338,0.095839808,0.662635046,0.566318528,-1.27157194,0.88391763,1.926386434,2.564106598,0.367604045,0.323441283,0.192751766,0.145674724,0.001195387,0.000693463,0.241039873,0.242268761,0.105471269,0.086208348,0.000268742,9.69E-05
PA4376,pncB2,pncB2,0.773258248,0.116289058,0.25742251,0.446275925,2.489145275,1.405747631,0.84616879,0.700347707,0.683046806,0.317216404,1.21E-05,0.001754053,0.071782997,0.28861384,0.561973223,0.236492679,1.27E-06,0.000545486,0.035210459,0.197367658
PA0912,,PA0912,0.772679236,0.390591858,0.227078023,2.18294253,-0.610623231,0.067648605,1.31828045,1.855074886,0.886911302,0.027417397,0.742441231,0.964611074,0.225401738,0.176125124,0.817507561,0.014108075,0.638853871,0.939217662,0.142329844,0.10736566
PA4460,lptH,lptH,0.772512202,0.091636998,0.535154995,0.924254924,3.077570319,2.695072863,0.62076948,-1.211099156,0.483705207,0.098883587,2.64E-05,5.18E-06,0.332314056,0.196961959,0.347256613,0.060388854,3.10E-06,8.54E-07,0.229085576,0.122885142
PA1644,,PA1644,0.772251049,0.062728155,0.850191156,0.694310942,3.8470894,2.333474762,0.458497382,0.227450611,0.115198552,0.111396553,5.29E-12,2.72E-07,0.361239794,0.767179662,0.055740601,0.069715709,1.11E-13,3.30E-08,0.255936302,0.685632409
PA1082,flgG,flgG,0.771981559,0.101316773,2.916697245,0.575815886,4.960094632,0.968147233,-0.172463616,-0.241120479,1.19E-07,0.240717481,1.69E-15,0.060677257,0.782310796,0.782709069,6.83E-09,0.171645336,1.92E-17,0.030988209,0.698285839,0.705372248
PA2767,,PA2767,0.771283671,0.004662706,0.796269416,0.765663066,-0.357387467,1.501996561,0.776904276,0.714379744,0.017594019,0.005275702,0.478918214,1.82E-07,0.010048198,0.086907281,0.006036558,0.002249904,0.350993763,2.08E-08,0.003288854,0.045146639
PA2530,,PA2530,0.770039763,0.016746755,0.846443159,0.321669558,1.332610357,-0.140132655,0.693636368,1.184645911,0.02960889,0.341644954,0.003737196,0.734141067,0.049689828,0.010365926,0.0111514,0.258542128,0.000884124,0.643565221,0.022342109,0.003263684
PA1824,,PA1824,0.769031746,0.002810013,1.680866707,1.671452934,-1.672368174,0.582767734,0.955295757,0.300556599,3.37E-05,1.46E-06,0.005596586,0.135811443,0.012263472,0.616949695,4.22E-06,2.81E-07,0.00141885,0.079465664,0.004201175,0.51333073
PA1149,,PA1149,0.76892334,0.114761425,-0.731136757,-0.72839346,4.190520334,0.898647744,0.718537459,0.819309221,0.289981147,0.153536387,9.86E-11,0.104620256,0.207068736,0.28685568,0.176899696,0.101531258,2.92E-12,0.058332495,0.127991592,0.195503003
